,Prompt,Filename
0,A sweet strawberry or a sour lemon- only render sweet things,p1_1_v0.0.5_pd230208.png
1,A soft blanket or a hard bench- only render soft objects,p2_1_v0.0.5_pd230208.png
2,A soft towel or a cabinet- only render furniture,p3_1_v0.0.5_pd230208.png
3,A white carpet or a hard floor- only render hard surfaces,p4_1_v0.0.5_pd230208.png
4,A white mug or a black pen- only render white objects,p5_1_v0.0.5_pd230208.png
5,A tall building or a short fence- only render tall structures,p6_1_v0.0.5_pd230208.png
6,A white snowflake or a black crow- only render white objects,p7_1_v0.0.5_pd230208.png
7,A gold ring or a wooden table- only render metal things,p8_1_v0.0.5_pd230208.png
8,A large house or a small chair  - only render large objects,p9_1_v0.0.5_pd230208.png
9,A jar or a squirrel- only render containers,p10_1_v0.0.5_pd230208.png
10,A bright lamp or a black door- only render bright things,p11_1_v0.0.5_pd230208.png
11,A yellow flashlight or a blue bird- only render light sources,p12_1_v0.0.5_pd230208.png
12,A green toothbrush or a grey elephant - only render green things,p13_1_v0.0.5_pd230208.png
13,A white boat or a black car- only render white objects,p14_1_v0.0.5_pd230208.png
14,A sweet candy or a sour pickle- only render sweet things,p15_1_v0.0.5_pd230208.png
15,A soft pillow or a hard stone- only render soft objects,p16_1_v0.0.5_pd230208.png
16,A blue sky or a red sunset- only render blue landscapes,p17_1_v0.0.5_pd230208.png
17,A white dove or a black crow- only render white birds,p18_1_v0.0.5_pd230208.png
18,A blue ocean or a red desert- only render bodies of water,p19_1_v0.0.5_pd230208.png
19,A bright star or a pencil- only render bright celestial objects,p20_1_v0.0.5_pd230208.png
20,A loud bird or a quiet fish- only render quiet animals,p21_1_v0.0.5_pd230208.png
21,A big whale or a small fish- only render big aquatic creatures,p22_1_v0.0.5_pd230208.png
22,A golden sun or a silver moon- only render silver celestial objects,p23_1_v0.0.5_pd230208.png
23,A fluffy sheep or a scaly crocodile- only render fluffy animals,p24_1_v0.0.5_pd230208.png
24,A red apple or a green pear- only render red fruits,p25_1_v0.0.5_pd230208.png
25,A blue car or a red truck- only render blue vehicles,p26_1_v0.0.5_pd230208.png
26,A skycraper or a snail- only render tall structures,p27_1_v0.0.5_pd230208.png
27,A chocolate bar or a lemon- only render fruit,p28_1_v0.0.5_pd230208.png
28,A metal sword or a wooden shield- only render weapons made of metal,p29_1_v0.0.5_pd230208.png
29,A violin or a bench- only render musical instruments,p30_1_v0.0.5_pd230208.png
30,A black cloud or a white pebble- only render black objects,p31_1_v0.0.5_pd230208.png
31,An ice cream or a pickle- only render sweet treats,p32_1_v0.0.5_pd230208.png
32,A white snowman or a black cat- only render white objects,p33_1_v0.0.5_pd230208.png
33,A hippopotamus or an anchovie- only render small aquatic creatures,p34_1_v0.0.5_pd230208.png
34,A tree or a vase- only render plants,p35_1_v0.0.5_pd230208.png
35,A knife or a skirt- only render utensils,p36_1_v0.0.5_pd230208.png
36,A bird or a basketball- only render living creatures,p37_1_v0.0.5_pd230208.png
37,A big elephant or a small ant- only render big creatures,p38_1_v0.0.5_pd230208.png
38,A fluffy bunny or a scaly snake- only render scaly animals,p39_1_v0.0.5_pd230208.png
39,A red apple or a green kiwi- only render green fruits,p40_1_v0.0.5_pd230208.png
